dataset,cindex,ranksvm_C,setting,n_fps,use_classyfire_features,local_fps_features
AU_000,0.7987582592845751,8,multisys,304,False,False
BML_000,0.8356271504535502,16,multisys,304,False,False
BS_000,0.8873962641205695,8,multisys,304,False,False
EA_000,0.8573859339551299,4,multisys,304,False,False
EA_001,0.8320119499023325,8,multisys,304,False,False
EQ_000,0.7797323135755259,4,multisys,304,False,False
EQ_001,0.8620689655172413,16,multisys,304,False,False
LQB_000,0.792150981127359,4,multisys,304,False,False
LU_000,0.7651129212411801,8,multisys,304,False,False
PR_000,0.8352018457115032,1,multisys,304,False,False
RP_000,0.8380090497737557,8,multisys,304,False,False
UT_000,0.8300683504371702,4,multisys,304,False,False
AU_000,0.8057644110275689,32,multisys,2764,False,True
BML_000,0.8424564696069231,4,multisys,2764,False,True
BS_000,0.901232340614505,16,multisys,2764,False,True
EA_000,0.8396143181245274,16,multisys,2764,False,True
EA_001,0.8396529932207285,4,multisys,2764,False,True
EQ_000,0.7862332695984704,4,multisys,2764,False,True
EQ_001,0.8526950117174422,8,multisys,2764,False,True
LQB_000,0.8177727784026997,4,multisys,2764,False,True
LU_000,0.769825918762089,4,multisys,2764,False,True
PR_000,0.8453405059475503,1,multisys,2764,False,True
RP_000,0.8262443438914027,4,multisys,2764,False,True
UT_000,0.8342940042451269,8,multisys,2764,False,True
AU_000,0.8065048986101617,8,multisys,304,superclass,False
BML_000,0.8337503909915546,16,multisys,304,superclass,False
BS_000,0.8596686002942074,32,multisys,304,superclass,False
EA_000,0.851966221325939,8,multisys,304,superclass,False
EA_001,0.8458002987475584,8,multisys,304,superclass,False
EQ_000,0.7724665391969407,32,multisys,304,superclass,False
EQ_001,0.8446601941747572,8,multisys,304,superclass,False
LQB_000,0.8030246219222598,8,multisys,304,superclass,False
LU_000,0.7581660173808811,32,multisys,304,superclass,False
PR_000,0.7995745124863775,1,multisys,304,superclass,False
RP_000,0.8380090497737557,1,multisys,304,superclass,False
UT_000,0.8150740949895819,16,multisys,304,superclass,False
AU_000,0.8153337890179996,8,multisys,2764,superclass,True
BML_000,0.830049004274841,16,multisys,2764,superclass,True
BS_000,0.8679813483582669,16,multisys,2764,superclass,True
EA_000,0.8517141416687674,8,multisys,2764,superclass,True
EA_001,0.8487303228771688,8,multisys,2764,superclass,True
EQ_000,0.7973231357552581,4,multisys,2764,superclass,True
EQ_001,0.8496819551389354,8,multisys,2764,superclass,True
LQB_000,0.8278965129358831,16,multisys,2764,superclass,True
LU_000,0.7563044287647225,8,multisys,2764,superclass,True
PR_000,0.8174925220859323,4,multisys,2764,superclass,True
RP_000,0.8352941176470589,4,multisys,2764,superclass,True
UT_000,0.8447705099994158,8,multisys,2764,superclass,True
AU_000,0.8047960811118706,8,multisys,304,class,False
BML_000,0.833229068918778,16,multisys,304,class,False
BS_000,0.8619445446723473,8,multisys,304,class,False
EA_000,0.8536047390975549,32,multisys,304,class,False
EA_001,0.8444214638630357,8,multisys,304,class,False
EQ_000,0.7915869980879541,8,multisys,304,class,False
EQ_001,0.8326079678607299,16,multisys,304,class,False
LQB_000,0.8035245594300713,16,multisys,304,class,False
LU_000,0.7519637489670453,32,multisys,304,class,False
PR_000,0.7984963016207944,8,multisys,304,class,False
RP_000,0.8343891402714932,4,multisys,304,class,False
UT_000,0.7899149027320702,16,multisys,304,class,False
AU_000,0.8129414445203919,8,multisys,2764,class,True
BML_000,0.8371389844646022,16,multisys,2764,class,True
BS_000,0.8665380665574953,16,multisys,2764,class,True
EA_000,0.853478699268969,4,multisys,2764,class,True
EA_001,0.8391933815925543,16,multisys,2764,class,True
EQ_000,0.7992351816443595,16,multisys,2764,class,True
EQ_001,0.8557080682959491,8,multisys,2764,class,True
LQB_000,0.8145231846019247,8,multisys,2764,class,True
LU_000,0.7542793835871451,16,multisys,2764,class,True
PR_000,0.8085074315394069,16,multisys,2764,class,True
RP_000,0.8221719457013574,8,multisys,2764,class,True
UT_000,0.8222985998870562,32,multisys,2764,class,True
AU_000,0.8041125541125541,32,multisys,304,subclass,False
BML_000,0.8317693671150036,16,multisys,304,subclass,False
BS_000,0.862249854284049,32,multisys,304,subclass,False
EA_000,0.8531005797832115,32,multisys,304,subclass,False
EA_001,0.8401700563024245,16,multisys,304,subclass,False
EQ_000,0.7847036328871893,32,multisys,304,subclass,False
EQ_001,0.8403080013391363,32,multisys,304,subclass,False
LQB_000,0.8023997000374953,8,multisys,304,subclass,False
LU_000,0.7551602328347908,8,multisys,304,subclass,False
PR_000,0.7906010156050733,16,multisys,304,subclass,False
RP_000,0.8276018099547511,16,multisys,304,subclass,False
UT_000,0.8124062859034525,32,multisys,304,subclass,False
AU_000,0.8167008430166325,8,multisys,2764,subclass,True
BML_000,0.8316129704931707,16,multisys,2764,subclass,True
BS_000,0.8654278497876711,16,multisys,2764,subclass,True
EA_000,0.8522183009831107,8,multisys,2764,subclass,True
EA_001,0.827817993795243,32,multisys,2764,subclass,True
EQ_000,0.7904397705544933,16,multisys,2764,subclass,True
EQ_001,0.8242383662537663,32,multisys,2764,subclass,True
LQB_000,0.8135233095863017,16,multisys,2764,subclass,True
LU_000,0.7506470155556161,32,multisys,2764,subclass,True
PR_000,0.7974122939226007,8,multisys,2764,subclass,True
RP_000,0.8117647058823529,16,multisys,2764,subclass,True
UT_000,0.8237396062547465,32,multisys,2764,subclass,True
