name,contributor,ion_mode,num_spectra,num_compounds
AC_000,AAFC,positive,839,136
AU_000,Athens_Univ,negative,578,150
AU_001,Athens_Univ,positive,374,88
AU_002,Athens_Univ,positive,3764,726
AU_003,Athens_Univ,positive,250,91
RP_000,BGC_Munich,negative,279,113
RP_001,BGC_Munich,positive,619,206
BS_000,BS,negative,855,274
UT_000,Chubu_Univ,negative,1359,349
EA_000,Eawag,negative,248,147
EA_001,Eawag,negative,1445,155
EA_002,Eawag,positive,622,313
EA_003,Eawag,positive,3733,319
EQ_000,Eawag,negative,544,96
EQ_001,Eawag,negative,809,93
EQ_002,Eawag,positive,1168,201
EQ_003,Eawag,positive,1953,221
ET_000,Eawag_Additional_Specs,positive,247,51
FU_000,Fukuyama_Univ,positive,162,54
KW_000,KWR,positive,200,55
LU_000,LCSB,negative,3085,528
LU_001,LCSB,positive,3978,686
CE_000,MPI_for_Chemical_Ecology,positive,352,80
NA_000,NaToxAq,positive,2205,109
PR_000,RIKEN,negative,4647,510
PR_001,RIKEN,positive,5000,824
LQB_000,RIKEN_IMS,negative,754,301
UF_000,UFZ,positive,323,149
UF_001,UFZ,positive,310,146
BML_000,Washington_State_Univ,negative,474,186
BML_001,Washington_State_Univ,positive,701,267
